"Speaker Name","Start Time","End Time","Text"
"不明","00:03:43:01","00:04:04:03","次は、その答えとなる過去最高125兆円というデータをご紹介します。第2章なぜ買い続けるのか。毎日約700億円の衝撃データ。数の理屈は分かっても、不安な時に買い続けるのって怖くないですか。そう思いますよね。では、ここで一つのデータをご紹介します。"
"不明","00:04:04:04","00:04:25:01","画面をご覧ください。2026年上期。1月から6月は、金利や地政学リスクなどを背景に。株価が下がるんじゃないか今は危ないのでは。といった不安の声が何度も広がりました。そんな中、日本の投資信託には過去最高となる125兆円の資金が流入したんです。"
"不明","00:04:25:03","00:04:48:04","これは、侵入者が始まった2024年の上期の86兆円や、それまでの最高だった2007年の87兆円を大きく上回る過去最高の記録なんです。みんな売っていたと思っていた方にとっては、少し意外ではないでしょうか。もちろん、この資金には新規の購入など様々な要因が含まれています。"
"不明","00:04:48:06","00:05:07:06","それでもこの数字を見ると、不安な相場の中でも多くの人が投資を続けていたことがうかがえます。125兆円と言われてもなかなかイメージはしにくいですよね。営業日で換算すると毎日約700億円。つまり、ニュースで相場が危ないと言われている日でも。"
"不明","00:05:07:07","00:05:28:22","市場には毎日のように資金が流れ続けていたということです。みんな売っていると思っていたのに。実際には多くの資金が投資信託に向かっていた。このイメージと現実のギャップがとても興味深いところなんです。さらに、流入した式の約60は外国株式型の投資信託に向かいました。"
"不明","00:05:28:24","00:05:50:00","中でも、全世界株式や外国株式の500という代表的なインデックスファンドには、半年間で約34兆円もの資金が集まっています。では、なぜ不安が広がる中でも、多くの人は投資を続けることができたのでしょうか。その理由の一つが自動積立という仕組みです。"
"不明","00:05:50:01","00:06:11:04","毎月の積立設定をしておけば、人の感情とは関係なく、決まった日に淡々と買い続けてくれますから。今日はやめよう。もう少し様子を見よう。そんな気持ちになっても、仕組みは変わらず積立を続けてくれます。そして、相場が下がっている時には、同じ金額でより多くの口。"
"不明","00:06:11:06","00:06:28:20","数を購入できるんです。だからこそ、市場が回復した時には、その積み上げた口。数が資産の成長につながるんです。もちろん、今後の相場がどう動くかは誰にもわかりません。また、このデータだけでこうすれば必ずうまくいくと言えるわけでもありません。"
"不明","00:06:28:20","00:06:49:06","ただ、不安な局面でも多くの人が投資を続け、感情だけではなく仕組みを活用していたことはこのデータからもうかがえます。だから私は、相場を予測することよりも長く続けられる仕組みを作ること。それこそが長期の資産形成では何より大切だと思っています。"
"不明","00:06:49:06","00:07:07:06","第3章相場が下落した時にスポット買い増しはすべきプロの判断基準。さて、ここでよくいただく質問にお答えします。さやかさん。相場が下がると口数が増えるなら、積立を続けるだけではなくて、貯金を使って追加で買った方がいいんじゃないですか。"
"不明","00:07:07:06","00:07:25:03","皆さんも一度は考えたことがあるのではないでしょう。私の考えはとてもシンプルです。多くの方にとっては、いつもの積立を淡々と続けることが最も再現性の高い方法です。なぜなら、私たちはどこが本当のそこなのかを事前に知ることはできないからです。"
"不明","00:07:25:03","00:07:47:07","今がそこだと思って買った後に、さらに下がることもあります。するとまた下がった。やっぱり買わなければよかったと不安になり、長期投資を続けられなくなってしまうことがあります。だから、私は毎月の積立を続けることをお勧めしています。一方で、余裕資金があるので、下落時に少し買い増しも考えたいという方もいらっしゃるでしょう。"
"不明","00:07:47:08","00:08:05:09","その場合は、次の3つを意識すると良いと思います。一番生活防衛資金には手を付けないこと。生活費の6ヶ月から1年ほどは万が一に備える。お金は投資と分けて考えましょう。に一度にまとめて買わずに数回に分けること。"
"不明","00:08:05:10","00:08:23:13","一括で購入するより、時間を分散させた方が価格変動の影響を受けにくくなります。3ここがそこだと決めつけないこと。相場は誰にも予測できません。追加投資をする場合でも、これ以上下がることもあるという前提で、無理のない範囲で行うことが大切です。"
"不明","00:08:23:13","00:08:44:02","つまり、スポット購入はあれば必ずすべきものではありません。まずは積立を続けること。そして、余裕資金がある場合だけ、無理のない範囲で追加投資を検討する。私はそれくらいのスタンスが長く続けやすいと考えています。第4章暴落を味方につける3つの実践ルール。"
"不明","00:08:44:03","00:09:07:06","ここまでお話ししてきた内容を踏まえて、相場が大きく動いた時に私が大切と考えている3つの実践ルールをお伝えします。ルール1ニュースよりも自分のルールを優先する。相場が下がると、どうしてもニュースやSNSが気になりますよね。でも、一番避けたいのは、その日のニュースだけで投資の方針を変えてしまうことです。"
"不明","00:09:07:06","00:09:25:15","毎日値動きや口座の評価額を見ていると、損をしたくないという気持ちが強くなり、冷静な判断が難しくなります。1度積立の仕組みを作ったら、必要以上に評価額を確認しすぎないこと。それが長く投資を続けるためのコツだと私は思っています。"
"不明","00:09:25:15","00:09:46:18","ルールに複利を活かせる商品を選ぶ。賃金差では、毎月分配型の商品よりも、利益を再投資していくタイプの投資信託を選ぶ方が、長期の資産形成には向いているケースが多いと考えています。例えるなら、金の卵をその場で受け取るよりも、その卵を育ててさらに多くの卵を産んでもらうケースです。"
"不明","00:09:46:19","00:10:07:03","利益を再投資することで、複利の力をより良くしやすくなります。ルール3下落を積み上げる時期と考える。相場が下がると不安になるのは自然なことです。でも、積立投資をしている人にとっては、価格が下がっている時は同じ金額で多くの数を積み上げられる期間でもあります。"
"不明","00:10:07:04","00:10:27:09","もちろん、いつ相場が回復するかというのは誰にもわかりません。それでも下落失敗ではなく、将来の資産を積み上げる時間と考えられるようになると、相場との付き合い方は大きく変わります。だからこそ、私は相場を予測することよりも長く続けられる仕組みを作ること。"
"不明","00:10:27:09","00:10:48:19","そして、その仕組みを信じて続けること。これが長期投資では何より大切だと考えています。第5章あなただけの資産形成ロードマップ作成法。ここまで、相場が下落した時の考え方や、積立投資を続けるコツについてお話をしてきました。ここでぜひお伝えしたいことがあります。"
"不明","00:10:48:20","00:11:04:07","投資の考え方には基本がありますが、自分に合った資産形成の方法は一人一人違います。例えば。私は毎月いくら積み立てるのが無理なく続けられるんだろう。今入っている保険というのは。今入っている保険はこのままでいいのかな。"
"不明","00:11:04:08","00:11:26:10","特典口座の資産と信任さはどう使い分ければいいんだろう。こうした疑問の答えは、年齢や収入、家族構成、資産状況、そして将来の目標によって大きく変わってきます。そのため、YOUTUBEでは多くの方に共通する考え方を中心にお伝えをしています。もし、自分の場合はどう考えればいいの。"
"不明","00:11:26:12","00:11:51:07","そう思われた方のために。概要欄の公式ラインでは。資産形成に役立つ無料コンテンツをご用意しています。例えば。資産形成の現在地が5項目で診断できるマネー通信簿や年代別の最適化マニュアルなどです。概要欄のリンクからぜひ受け取ってくださいね。さらに、動画を見るだけでは自分の場合に落とし込めるか不安という方のために。"
"不明","00:11:51:07","00:12:11:02","公式LINEに登録してくださった方限定で。無料個別相談枠を人数限定でご用意をしています。専門のプロがあなたの状況を丁寧にヒアリングし。あなた専用の最適資産形成ロードマップを。一緒に作成しています。枠が生まれ次第、予告なく終了していますので。"
"不明","00:12:11:03","00:12:30:09","今年こそは。お金の不安をなくして。自由な人生を踏み出したいという方は。今すぐ概要欄のリンクからLINEに登録して。案内を受け取ってくださいね。本日も最後までご指導いただき。本当にありがとうございました。今日一番お伝えしたかったことは。相場の未来は誰にも予測できない。"
"不明","00:12:30:09","00:12:55:19","ということです。これはこれから先も金利や景気、地政学リスクなど様々な要因で市場が大きく動く場面はきっとあるでしょう。でも、その度に感情で打ったり、積み立てを止めてしまったりすると、長期投資のメリットが十分に行かせなくなる可能性があります。だからこそ大切なのは相場を当てることではなく、続けられる仕組みを作ること。"
"不明","00:12:55:19","00:13:13:26","自分に合った積立額を決めて、無理のない範囲でコツコツ続けていくこと。私はそれが将来の資産づくりにつながる一番の近道だと考えています。それでは最後に皆さんに質問です。最近の相場やニュースを見て、皆さんどのように行動していますか。"
"不明","00:13:13:26","00:13:34:03","1予定通りそのまま積立を継続したに少し不安になって、スマホの画面を見なかった。3チャンスだと思って買い増しをした。コメント欄で183のように番号だけでも大丈夫ですので教えてくださいね。皆さんの生の声を大切に読ませていただきます。"
"不明","00:13:34:04","00:13:51:18","そして、この動画が少しでも参考になったと思っていただけたらいいねと。チャンネル登録で応援していただけると嬉しいです。皆さんの将来の資産作りが、今日のこの動画をきっかけに一歩前へ進むことを願っています。それでは次の動画でお会いしましょう。"
"不明","00:13:51:19","00:13:52:18","バイバーイ。"
